"kjonn","alder","ansvar","likhet","staasted"
2,50,7,1,7
2,28,7,2,5
1,57,5,2,3
1,18,6,3,7
1,37,3,2,5
2,76,8,4,2
2,38,4,4,5
2,54,5,5,4
2,79,10,5,5
2,76,6,3,2
2,29,4,3,5
1,55,7,2,5
1,25,8,3,3
2,65,7,3,3
2,66,7,2,0
1,15,3,4,5
1,80,7,4,2
1,54,7,3,5
1,59,5,2,7
2,63,8,2,3
2,39,7,2,3
1,16,5,2,5
2,62,8,2,5
1,35,8,4,7
2,65,6,2,2
2,42,8,4,8
2,61,8,3,2
2,49,6,4,3
1,71,8,2,5
1,68,5,3,3
1,64,5,2,6
2,50,6,4,5
1,57,3,2,7
2,53,4,4,2
2,31,6,3,2
1,61,5,4,5
2,50,5,3,3
1,48,10,4,5
1,47,7,2,5
1,62,5,4,5
1,70,5,2,5
1,69,10,2,0
2,51,10,3,4
2,54,4,2,2
2,55,5,3,3
1,51,5,4,3
2,20,7,2,5
1,61,4,2,4
1,75,3,3,2
2,51,7,1,5
2,64,8,3,2
1,35,7,3,6
1,45,5,2,3
2,50,5,2,3
1,63,8,3,5
2,58,8,4,3
2,59,8,3,5
1,62,4,3,5
2,66,6,3,3
1,39,6,2,3
1,75,2,4,0
1,18,9,2,4
1,74,0,2,0
1,76,3,2,2
1,73,6,3,4
1,72,9,5,5
1,53,4,4,6
1,64,7,2,5
2,62,3,3,3
1,53,9,2,0
1,50,10,4,7
1,59,8,2,NA
2,23,9,3,5
1,17,3,2,7
1,74,9,2,5
1,61,10,2,4
1,16,6,NA,5
2,71,4,3,6
2,49,5,2,5
2,56,5,3,3
1,53,5,2,8
1,39,8,3,7
2,92,5,3,5
2,30,6,4,5
1,61,5,3,3
2,48,5,4,5
1,48,6,3,6
2,36,4,2,6
2,75,6,3,3
1,74,7,3,5
1,35,8,3,4
2,46,5,4,4
1,28,6,4,1
1,58,10,4,5
1,77,6,2,4
1,55,10,2,5
1,78,9,2,3
1,60,8,4,2
2,59,6,3,4
1,66,10,2,5
1,36,8,2,6
1,79,5,4,3
1,76,3,2,5
1,61,5,2,5
1,37,6,2,4
1,40,6,4,5
1,19,6,3,7
2,74,3,3,5
1,58,5,2,3
1,47,7,2,5
1,62,8,2,6
1,78,6,2,5
2,38,5,4,3
2,53,5,2,5
2,30,5,3,5
2,48,6,2,2
1,38,10,4,5
1,20,10,2,2
1,76,2,3,7
2,55,5,4,5
1,19,4,4,5
1,57,8,4,5
1,32,7,2,5
1,43,5,3,7
2,81,6,2,5
1,74,7,2,4
2,89,5,NA,3
1,77,10,3,0
2,39,7,3,5
1,64,5,2,4
2,72,9,4,0
2,50,10,2,5
1,24,8,2,3
1,43,10,5,5
2,46,3,3,5
2,66,4,4,4
2,37,8,4,5
2,28,5,4,5
1,21,7,3,3
1,36,7,2,4
1,29,10,2,4
1,59,7,4,3
2,59,5,4,5
1,63,7,3,4
2,77,7,1,3
2,72,7,2,5
2,72,6,4,4
1,48,2,4,3
2,60,3,4,5
2,28,4,2,1
1,54,6,2,2
2,50,7,3,7
2,71,6,2,3
2,63,5,3,5
2,17,5,3,5
2,67,6,2,1
2,42,6,3,6
1,30,5,3,7
1,28,7,3,6
2,29,7,3,1
1,68,5,3,10
1,28,7,5,5
1,17,9,4,5
2,56,8,5,2
1,67,2,4,2
1,17,7,3,5
1,53,8,3,0
1,31,5,2,5
2,77,6,3,5
2,81,8,2,5
2,78,4,NA,NA
1,64,5,4,3
1,66,3,4,6
2,66,10,2,NA
2,88,3,3,NA
1,42,6,2,6
1,36,5,5,5
2,63,8,3,NA
1,51,5,3,5
2,52,NA,NA,NA
2,61,8,2,5
2,46,6,2,4
2,71,7,3,NA
2,73,4,4,5
2,78,6,4,5
2,57,5,4,NA
1,82,7,3,5
2,38,7,2,5
2,49,4,4,5
2,32,5,4,5
1,43,7,4,5
2,18,6,4,5
2,68,7,2,5
1,63,6,3,3
2,34,6,3,5
1,48,5,3,4
1,79,5,4,5
1,48,1,2,5
1,23,7,2,3
2,39,7,4,3
2,40,5,4,3
1,76,8,2,0
1,43,5,4,3
1,27,5,2,7
1,67,8,2,3
1,29,3,4,6
2,72,5,4,10
1,22,7,3,3
2,35,8,2,3
2,45,4,2,4
2,26,8,3,4
2,33,10,4,3
2,61,4,3,3
1,76,8,3,5
1,58,8,4,2
1,26,9,3,2
1,58,8,2,7
1,53,7,2,0
2,26,8,2,3
1,61,3,1,6
2,48,10,2,3
2,23,6,4,3
1,51,3,2,4
2,19,9,2,3
2,51,5,2,2
2,50,4,3,5
2,51,7,4,5
2,73,5,3,5
1,19,5,5,5
1,16,7,2,5
1,80,2,2,5
2,48,9,4,5
1,68,8,3,6
1,42,3,1,10
2,46,5,5,5
2,65,5,5,5
2,74,5,5,5
1,51,5,5,5
1,72,4,3,5
1,50,5,5,5
1,56,10,5,5
2,39,5,5,5
2,67,5,5,5
2,61,5,5,5
2,37,5,5,4
2,56,5,5,5
2,36,5,5,3
2,79,5,5,5
1,39,5,5,6
1,65,5,4,5
1,54,5,5,5
1,48,5,5,5
2,63,8,5,5
1,61,5,3,5
1,49,5,4,8
1,57,5,5,5
1,67,5,5,5
1,37,8,5,5
1,47,4,3,6
1,65,6,3,4
2,77,4,3,4
1,16,8,2,5
1,27,2,4,2
1,62,8,2,5
2,62,5,2,4
1,66,6,2,2
2,69,6,2,2
2,45,5,2,5
1,60,10,2,5
1,63,5,5,NA
2,66,5,4,2
1,37,7,2,4
2,60,4,2,5
1,48,10,2,1
1,21,7,3,6
2,16,6,2,5
1,22,9,3,7
2,46,10,1,5
2,61,7,2,5
1,60,7,4,5
2,82,6,3,0
1,82,7,2,0
1,21,10,2,3
2,35,6,2,4
1,52,7,4,3
1,67,8,2,5
1,79,10,2,3
2,75,9,2,0
1,45,3,4,6
1,50,8,4,2
1,65,2,4,NA
2,66,4,3,4
2,23,7,4,6
1,70,4,2,5
1,51,5,2,1
1,16,9,1,6
1,36,6,4,5
2,76,6,2,4
2,66,4,1,4
2,68,5,2,5
2,36,7,4,2
1,33,3,4,5
1,72,3,2,8
1,82,5,3,5
1,59,6,4,5
1,67,7,3,5
2,55,4,3,0
2,35,6,2,5
2,57,1,3,4
2,48,8,4,5
1,41,10,2,5
1,79,8,2,6
2,22,9,2,5
1,54,5,4,5
1,41,7,1,10
1,68,7,2,3
1,73,0,2,5
1,57,3,4,9
2,55,7,3,3
2,44,9,2,5
1,46,2,2,5
2,65,8,5,0
1,53,5,4,4
1,47,0,2,5
2,66,7,3,2
1,63,4,3,8
1,34,6,2,4
1,53,5,2,5
1,34,2,2,5
2,20,3,3,5
2,24,5,3,5
2,43,3,4,5
1,77,8,3,3
1,41,7,3,7
2,64,4,4,2
2,31,9,2,5
1,84,4,4,3
1,68,7,4,0
1,52,10,2,3
2,64,8,4,3
1,71,8,2,3
2,35,7,2,5
1,38,6,2,3
1,51,5,3,6
1,34,9,2,5
1,29,6,2,3
2,45,4,3,4
1,65,6,3,5
1,22,3,4,5
2,50,6,2,0
2,47,1,4,4
2,30,2,NA,5
2,65,6,2,5
1,66,5,2,6
2,25,4,4,4
2,18,4,2,5
2,82,5,3,2
2,52,7,2,5
2,53,8,3,3
1,61,9,3,5
1,65,5,4,5
2,67,2,3,2
2,50,6,3,3
2,62,7,3,4
1,37,7,3,6
2,16,4,2,3
2,67,7,3,8
2,71,6,2,5
1,72,6,2,3
2,47,5,1,3
1,57,5,4,2
1,30,5,3,3
2,67,6,5,3
1,36,8,3,3
1,72,10,4,3
1,55,10,2,8
1,23,5,3,7
2,58,8,2,8
1,31,7,3,5
1,49,10,2,4
1,29,4,2,0
1,52,5,5,5
1,53,3,4,3
1,18,6,3,6
2,44,5,3,5
2,38,2,4,NA
2,55,5,2,5
1,31,7,4,6
2,68,9,2,5
2,78,NA,1,0
1,40,5,3,4
2,59,10,4,5
1,17,8,2,5
2,52,3,5,5
2,16,7,2,0
1,58,8,3,5
2,80,8,2,8
1,35,8,3,10
1,19,3,2,5
1,59,8,4,3
1,56,5,3,8
1,20,6,3,3
2,23,9,2,3
2,36,7,3,0
1,32,7,1,3
2,27,10,2,0
1,24,6,3,3
1,64,7,3,4
2,89,5,2,5
2,51,3,2,5
1,77,5,3,2
2,59,8,3,7
1,64,5,2,0
2,53,4,4,2
1,67,1,4,7
1,46,5,2,5
2,55,8,4,7
2,38,6,3,5
2,33,9,3,7
2,56,5,4,3
1,70,9,2,5
2,30,5,4,5
1,53,10,3,6
2,63,4,4,3
1,26,2,2,2
1,60,10,3,5
2,71,10,2,8
1,55,8,4,3
1,41,7,5,6
1,48,6,2,3
2,57,8,4,7
2,50,5,2,5
2,59,2,3,3
1,35,6,3,7
2,86,7,NA,5
1,79,7,2,4
1,69,4,3,3
2,78,9,2,5
1,39,7,4,5
1,62,7,4,5
2,35,NA,NA,5
1,60,3,3,4
1,76,8,3,5
1,65,4,3,7
2,51,7,4,5
1,49,2,2,6
2,54,5,1,0
2,50,6,4,NA
2,52,7,2,5
2,59,8,2,5
2,77,8,2,5
2,51,7,3,5
1,59,9,1,5
2,17,7,3,5
1,60,4,5,1
2,66,7,4,3
2,54,6,3,3
2,28,6,3,5
2,52,4,3,3
2,65,5,3,5
2,64,6,2,3
2,35,NA,2,5
2,47,3,2,5
1,64,5,3,6
1,62,8,2,5
1,40,3,2,5
2,61,9,3,4
1,56,8,3,10
2,21,5,2,5
2,82,6,3,5
2,61,10,2,5
2,19,4,2,0
2,46,6,2,5
2,53,5,2,5
2,50,5,2,5
2,75,3,4,0
1,74,5,2,3
2,45,5,2,5
1,76,10,2,4
2,42,6,4,5
1,51,3,4,4
1,59,5,3,6
2,34,5,4,3
1,49,8,3,5
1,47,5,2,6
2,56,7,2,7
2,34,6,2,5
1,78,9,2,5
1,19,4,2,5
1,28,10,4,5
2,60,6,2,4
1,34,5,4,3
1,25,8,3,8
2,49,4,2,2
1,77,5,3,5
2,78,3,3,3
1,75,3,3,5
2,39,8,2,2
2,79,3,3,7
1,37,5,3,6
1,18,7,2,4
1,69,6,2,5
1,28,7,4,10
1,48,5,3,4
2,28,2,2,3
1,39,5,2,3
2,26,6,2,2
1,53,10,1,3
1,52,8,4,5
1,75,7,3,5
2,40,8,3,3
1,64,0,2,5
2,78,5,4,8
1,80,6,4,4
1,52,4,4,9
1,23,5,4,7
2,44,6,4,1
1,32,NA,NA,NA
2,29,9,4,2
2,15,4,3,5
2,22,9,4,6
1,38,5,4,3
1,70,5,3,7
1,26,6,4,8
1,72,5,2,3
2,49,7,3,6
2,55,5,2,5
2,39,10,2,3
2,73,5,2,5
2,50,3,2,2
1,58,6,2,NA
2,58,7,4,0
1,19,4,3,3
1,36,6,2,3
1,37,4,4,5
2,48,9,2,3
1,79,5,2,5
2,40,5,2,2
1,18,10,3,5
1,38,4,4,6
2,30,4,4,6
1,43,4,4,3
2,22,4,2,6
2,69,5,4,5
2,38,6,2,5
1,64,6,2,5
1,72,5,4,7
1,35,5,2,5
1,78,5,3,5
2,40,5,2,3
2,43,5,2,5
2,17,6,3,3
2,62,3,4,5
1,72,3,2,2
2,81,6,3,5
1,29,6,2,NA
1,46,5,2,8
1,58,10,3,3
1,36,3,3,7
1,43,8,4,7
2,57,4,2,5
2,67,4,4,5
2,74,3,2,NA
2,55,NA,4,5
2,35,3,4,5
2,45,3,2,2
1,66,5,4,5
2,45,4,4,5
2,64,8,1,5
2,22,6,2,5
2,27,6,4,5
2,54,5,3,5
1,24,7,2,3
2,37,5,4,4
1,76,10,2,0
2,28,8,4,3
2,53,4,3,5
1,17,7,4,5
2,62,5,4,7
2,62,8,2,0
2,22,5,2,2
2,51,3,3,4
2,28,7,3,3
2,24,8,2,1
1,52,7,3,5
1,34,8,3,5
1,54,8,2,5
2,50,7,3,5
1,69,3,3,6
2,77,5,4,5
2,65,3,2,5
1,47,9,2,5
2,26,7,3,4
1,58,7,2,4
2,58,5,2,5
1,17,8,2,5
1,33,6,4,4
2,55,5,2,6
1,55,6,2,5
1,77,3,2,7
1,17,8,2,3
2,28,5,4,5
1,72,5,2,6
1,18,7,4,4
2,50,5,3,3
1,47,6,3,3
2,34,10,4,5
2,87,7,2,10
1,77,3,4,2
1,66,9,2,0
1,56,6,3,5
1,66,6,4,4
1,30,6,2,8
2,49,10,4,2
2,61,7,3,6
1,59,6,2,3
1,54,4,2,5
2,69,6,4,5
1,71,9,2,1
2,80,7,2,5
1,25,5,3,5
2,19,3,3,0
2,16,7,2,5
1,36,8,2,3
1,69,10,2,5
1,57,5,2,8
2,66,0,3,8
2,34,5,2,4
1,38,8,2,NA
1,22,4,3,6
1,27,4,2,5
2,16,4,3,0
1,54,8,4,6
1,43,8,3,7
2,15,9,2,6
2,21,6,4,2
1,38,8,2,4
2,74,3,2,5
2,24,5,2,4
2,47,5,4,4
1,26,10,3,4
2,61,8,2,NA
1,25,7,2,4
2,35,5,3,7
2,54,8,3,5
1,55,2,3,5
1,24,4,2,5
1,33,8,2,7
1,56,6,4,0
1,47,3,2,7
1,20,7,3,6
2,15,6,2,6
1,37,8,3,1
2,59,8,4,5
1,40,8,3,6
1,53,6,2,5
1,30,5,4,8
2,76,5,2,5
1,32,10,2,5
2,61,8,3,5
1,29,6,2,5
2,67,3,3,5
1,54,7,3,2
2,73,5,3,5
1,24,5,3,4
2,52,10,2,0
2,68,4,3,2
2,38,5,3,1
2,15,6,2,5
2,68,7,2,9
2,45,4,2,5
1,43,7,2,3
2,78,5,2,5
1,34,7,2,5
2,38,7,2,4
2,51,6,2,5
1,19,5,3,4
2,47,4,NA,NA
2,54,7,2,4
2,68,7,3,7
1,62,3,2,5
1,54,6,2,3
2,62,5,4,5
1,73,8,2,10
2,33,4,4,3
2,57,6,4,8
2,79,4,2,8
1,20,8,2,3
2,57,4,2,2
1,28,7,3,7
2,69,5,2,10
2,59,5,2,5
2,47,6,2,5
2,21,6,3,2
2,25,9,2,5
1,70,5,2,4
1,20,6,5,5
1,69,6,2,4
1,21,7,4,4
1,59,8,2,4
2,17,9,3,4
1,55,5,2,5
1,63,8,3,3
2,56,9,3,5
1,72,5,4,6
2,66,3,2,2
2,65,5,5,0
1,43,10,4,5
2,49,3,3,5
2,28,8,4,6
2,74,7,3,3
1,23,9,2,4
2,67,5,4,2
1,58,8,2,3
2,30,7,2,6
2,22,10,2,5
2,58,10,4,0
2,67,7,2,4
2,17,7,3,5
2,84,5,4,5
2,19,10,2,2
1,61,3,3,5
2,68,5,2,5
1,65,10,4,8
2,35,6,4,4
1,49,5,4,5
1,48,6,4,2
1,66,8,4,6
2,64,6,3,5
2,59,7,4,5
1,16,8,3,3
1,52,6,2,6
2,73,7,3,3
2,43,9,3,0
1,46,7,2,7
2,63,9,2,3
2,72,5,4,5
2,16,9,3,5
2,52,2,5,0
1,49,6,3,5
1,20,8,4,1
1,62,10,4,5
1,61,8,3,1
1,76,2,2,2
2,17,6,3,3
1,41,8,2,2
2,75,5,2,5
1,67,8,2,4
1,49,8,2,1
1,60,8,4,3
1,51,7,3,5
2,46,5,2,5
1,23,8,2,5
1,55,5,2,6
2,51,3,3,7
1,54,7,4,5
2,64,8,3,5
1,34,10,4,6
1,43,6,4,8
1,53,7,2,5
2,52,10,2,6
2,71,8,2,2
2,18,7,2,5
1,24,5,2,3
1,22,5,4,6
1,69,8,3,4
1,53,6,2,3
1,20,10,2,2
1,27,6,2,4
1,48,7,2,6
1,76,5,2,3
2,38,7,2,8
2,60,5,3,4
2,52,5,4,7
2,66,8,2,6
2,31,5,2,3
1,31,5,4,9
2,67,9,3,5
2,52,5,2,5
2,16,7,2,3
2,62,5,4,6
2,62,5,3,3
2,50,6,4,5
1,57,8,3,5
1,30,7,2,4
1,60,4,2,4
1,42,5,4,7
2,64,5,1,4
1,75,5,4,1
2,19,9,2,5
2,78,1,3,3
2,50,NA,3,6
1,56,4,3,1
2,50,NA,NA,NA
1,58,3,4,2
1,39,8,3,2
2,31,5,3,5
1,61,6,2,8
2,25,6,2,6
1,64,7,2,5
1,33,5,4,2
1,21,5,3,5
2,50,6,3,5
2,31,6,2,5
2,79,7,2,2
2,19,6,4,5
1,34,10,2,5
1,61,7,3,10
2,49,9,2,5
2,42,5,2,5
1,33,5,2,6
1,74,8,4,8
2,52,5,3,0
2,53,5,2,6
1,16,7,3,3
1,72,6,2,7
1,46,4,3,5
2,63,9,3,3
1,37,10,2,4
1,69,7,2,3
1,53,5,4,2
1,55,6,4,4
1,41,4,3,NA
2,30,2,3,NA
2,38,3,NA,5
2,54,8,3,5
2,80,10,3,5
2,34,5,3,4
1,82,5,2,3
2,33,4,NA,7
2,50,7,2,2
1,51,10,2,5
1,69,8,3,3
1,63,9,3,5
1,66,5,3,5
2,56,8,4,1
2,69,3,4,1
2,60,9,4,5
2,42,5,2,4
2,52,8,2,3
1,29,7,2,7
2,69,6,2,5
1,43,6,2,5
1,57,7,2,5
1,78,6,2,5
1,60,5,2,6
1,41,5,4,0
1,56,6,4,3
2,22,8,3,6
2,52,5,2,5
2,17,5,2,3
1,29,3,2,0
2,85,7,2,2
1,71,5,3,4
1,42,7,2,2
1,41,8,2,2
1,23,5,3,10
2,76,5,2,NA
1,19,6,3,0
2,70,9,4,1
1,50,8,5,5
1,32,3,3,6
2,79,4,4,5
1,29,6,3,5
1,63,5,4,3
1,80,6,2,5
2,37,7,3,6
1,63,7,2,2
1,63,10,5,5
1,46,4,2,5
1,59,5,2,5
1,57,5,3,5
1,79,8,4,5
2,56,5,4,5
2,55,5,4,5
2,40,5,2,2
2,61,4,3,4
1,39,8,3,7
2,64,7,2,2
1,31,6,2,7
2,76,8,2,1
2,43,5,2,2
1,39,9,2,7
1,65,6,3,6
1,80,10,4,0
2,35,5,3,3
2,52,NA,3,2
2,50,5,2,0
2,57,5,3,6
2,70,7,4,8
1,41,8,3,5
2,53,5,3,5
2,40,3,3,4
2,75,6,3,5
1,54,8,3,5
2,53,8,3,NA
2,50,10,1,2
2,16,7,3,5
2,32,6,3,5
2,54,6,4,5
2,84,10,4,0
1,19,3,4,4
1,68,8,3,5
1,55,3,3,3
2,64,10,3,5
1,62,4,2,3
1,68,6,3,1
1,52,6,3,6
1,60,8,4,3
2,75,8,2,3
1,63,6,2,3
1,40,3,3,3
1,56,6,2,4
1,80,2,3,8
1,59,5,2,6
2,48,4,4,4
2,45,5,4,5
2,38,5,2,4
1,69,5,3,3
1,22,5,2,3
2,47,5,4,6
1,49,3,4,5
1,66,4,2,5
2,83,5,3,4
2,41,7,2,3
2,47,5,2,5
2,31,5,3,5
2,20,8,3,2
1,20,5,2,3
2,76,5,2,6
2,37,3,2,5
1,54,8,3,3
2,39,6,2,4
1,41,5,5,4
1,60,7,3,6
1,20,NA,NA,5
2,45,0,3,0
1,20,5,3,3
2,37,NA,NA,2
1,48,7,3,2
1,49,5,2,5
2,38,5,2,2
1,50,10,2,5
1,62,7,4,3
1,29,10,2,5
1,77,8,2,5
1,59,8,2,3
1,41,7,2,5
1,37,3,2,5
2,20,5,4,5
1,64,4,4,4
2,60,5,2,4
